,stationId,year,pop_1,pop_2
218,Emmaus_SJ,1833,,
219,Friedensthal_SC,1833,,
220,Friedensfeld_SC,1833,,
221,Bethabara,1833,,
222,Paramaribo,1833,,
223,PlantageCH,1833,,
224,Genadendal,1833,1231,1340
225,Mamre,1833,,
226,Elim,1833,,
227,Enon,1833,,
228,Neuherrnhut_GRL,1834,,
229,Lichtenfels,1834,,
230,Lichtenau,1834,,
231,Friedrichsthal,1834,,
232,Nain,1834,,
233,Okak,1834,,
234,Hoffenthal,1834,,
235,Hebron,1834,,
236,Neuherrnhut_ST,1834,,
237,Emmaus_SJ,1834,,
238,Friedensthal_SC,1834,,
239,Friedensfeld_SC,1834,,
240,Bethabara,1834,,
241,Paramaribo,1834,,
242,PlantageCH,1834,,
243,Genadendal,1834,,1383
244,Mamre,1834,,
245,Elim,1834,,
246,Enon,1834,,
247,Neuherrnhut_GRL,1835,,
248,Lichtenfels,1835,,
249,Lichtenau,1835,,
250,Friedrichsthal,1835,,
251,Nain,1835,,
252,Okak,1835,,
253,Hoffenthal,1835,,
254,Hebron,1835,,
255,Neuherrnhut_ST,1835,,
256,Emmaus_SJ,1835,,
257,Friedensthal_SC,1835,,
258,Friedensfeld_SC,1835,,
259,Bethabara,1835,,
260,Paramaribo,1835,,
261,PlantageCH,1835,,
262,Genadendal,1835,1236,1406
263,Mamre,1835,,
264,Elim,1835,,
265,Enon,1835,,
266,Neuherrnhut_GRL,1836,,
267,Lichtenfels,1836,,
268,Lichtenau,1836,,
269,Friedrichsthal,1836,,
270,Nain,1836,,
271,Okak,1836,,
272,Hoffenthal,1836,,
273,Hebron,1836,,
274,Neuherrnhut_ST,1836,,
275,Emmaus_SJ,1836,,
276,Friedensthal_SC,1836,,
277,Friedensfeld_SC,1836,,
278,Bethabara,1836,,
279,Paramaribo,1836,,
280,PlantageCH,1836,,
281,Genadendal,1836,1257,1547
282,Mamre,1836,,
283,Elim,1836,,
284,Enon,1836,,
285,Neuherrnhut_GRL,1837,,
286,Lichtenfels,1837,,
287,Lichtenau,1837,,
288,Friedrichsthal,1837,,
289,Nain,1837,,
290,Okak,1837,,
291,Hoffenthal,1837,,
292,Hebron,1837,,
293,Neuherrnhut_ST,1837,,
294,Emmaus_SJ,1837,,
295,Friedensthal_SC,1837,,
296,Friedensfeld_SC,1837,,
297,Bethabara,1837,,
298,Paramaribo,1837,,
299,PlantageCH,1837,,
300,Genadendal,1837,,1557
301,Mamre,1837,,
302,Elim,1837,,
303,Enon,1837,,
304,Neuherrnhut_GRL,1838,,
305,Lichtenfels,1838,,
306,Lichtenau,1838,,
307,Friedrichsthal,1838,,
308,Nain,1838,,
309,Okak,1838,,
310,Hoffenthal,1838,,
311,Hebron,1838,,
312,Neuherrnhut_ST,1838,,
313,Emmaus_SJ,1838,,
314,Friedensthal_SC,1838,,
315,Friedensfeld_SC,1838,,
316,Bethabara,1838,,
317,Paramaribo,1838,,
318,PlantageCH,1838,,
319,Genadendal,1838,1336,1719
320,Mamre,1838,,
321,Elim,1838,,
322,Enon,1838,,
323,Neuherrnhut_GRL,1839,,
324,Lichtenfels,1839,,
325,Lichtenau,1839,,
326,Friedrichsthal,1839,,
327,Nain,1839,,
328,Okak,1839,,
329,Hoffenthal,1839,,
330,Hebron,1839,,
331,Neuherrnhut_ST,1839,,
332,Emmaus_SJ,1839,,
333,Friedensthal_SC,1839,,
334,Friedensfeld_SC,1839,,
335,Bethabara,1839,,
336,Paramaribo,1839,,
337,PlantageCH,1839,,
338,Genadendal,1839,1303,2013
339,Mamre,1839,,
340,Elim,1839,,
341,Enon,1839,,
342,Neuherrnhut_GRL,1840,,
343,Lichtenfels,1840,,
344,Lichtenau,1840,,
345,Friedrichsthal,1840,,
346,Nain,1840,,
347,Okak,1840,,
348,Hoffenthal,1840,,
349,Hebron,1840,,
350,Neuherrnhut_ST,1840,,
351,Emmaus_SJ,1840,,
352,Friedensthal_SC,1840,,
353,Friedensfeld_SC,1840,,
354,Bethabara,1840,,
355,Paramaribo,1840,,
356,PlantageCH,1840,,
357,Genadendal,1840,,2187
358,Mamre,1840,,
359,Elim,1840,,
360,Enon,1840,,
361,Neuherrnhut_GRL,1841,,
362,Lichtenfels,1841,,
363,Lichtenau,1841,,
364,Friedrichsthal,1841,,
365,Nain,1841,,
366,Okak,1841,,
367,Hoffenthal,1841,,
368,Hebron,1841,,
369,Neuherrnhut_ST,1841,,
370,Emmaus_SJ,1841,,
371,Friedensthal_SC,1841,,
372,Friedensfeld_SC,1841,,
373,Bethabara,1841,,
374,Paramaribo,1841,,
375,PlantageCH,1841,,
